corpus,run,fold,score
fisher2,24,6,0.83276157804459694
fisher2,24,7,0.8061749571183533
fisher2,24,8,0.80531732418524871
fisher2,24,9,0.8061749571183533
colt,0,0,0.80952380952380953
colt,0,1,0.76984126984126988
colt,0,2,0.69047619047619047
colt,0,3,0.74603174603174605
colt,0,4,0.70078740157480313
colt,0,5,0.73809523809523814
colt,0,6,0.75396825396825395
colt,0,7,0.74603174603174605
colt,0,8,0.76190476190476186
colt,0,9,0.7142857142857143
colt,1,0,0.69047619047619047
colt,1,1,0.76190476190476186
colt,1,2,0.76984126984126988
colt,1,3,0.73015873015873012
colt,1,4,0.69291338582677164
colt,1,5,0.7142857142857143
colt,1,6,0.7857142857142857
colt,1,7,0.76984126984126988
colt,1,8,0.7857142857142857
colt,1,9,0.7142857142857143
colt,2,0,0.75396825396825395
colt,2,1,0.76984126984126988
colt,2,2,0.77777777777777779
colt,2,3,0.72222222222222221
colt,2,4,0.70866141732283461
colt,2,5,0.74603174603174605
